DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Jul-25,EQ,334,343.55,330,334.95,336.55,337.05,338.32,376,234.01,11366010,"3,84,53,31,098.75",81018
29-Jul-25,EQ,336,337.3,333.2,333.4,335.05,334.95,335.2,376,234.01,7809814,"2,61,78,59,351.15",71929
28-Jul-25,EQ,332.35,338.35,331,332.9,333.65,333.4,334.62,376,234.01,5630809,"1,88,41,54,243.45",72927
25-Jul-25,EQ,340.1,341.4,331.05,341.4,333.6,332.9,334.84,376,234.01,3514659,"1,17,68,35,450.85",51437
24-Jul-25,EQ,344.45,344.9,339.7,344.45,341.5,341.4,341.55,376,234.01,3270996,"1,11,72,02,155.70",46555
23-Jul-25,EQ,341.85,345,336.8,340.35,344.5,344.45,340.57,376,234.01,5089227,"1,73,32,57,052.05",56302
22-Jul-25,EQ,342.6,344.35,339.95,342.6,340.65,340.35,341.16,376,234.01,4447293,"1,51,72,25,152.85",47308
21-Jul-25,EQ,343.5,344.7,339.45,343.5,342.85,342.6,342.34,376,234.01,5051058,"1,72,91,64,646.55",49785
18-Jul-25,EQ,347.5,351.45,342.1,346.75,343.2,343.5,346.1,376,234.01,5631392,"1,94,90,15,032.25",64410
17-Jul-25,EQ,349.6,349.9,344.25,347.85,347.15,346.75,346.45,376,234.01,4026086,"1,39,48,42,311.45",43302
16-Jul-25,EQ,350.05,351.7,347.4,348.05,348.5,347.85,349.07,376,234.01,8426412,"2,94,14,12,049.80",95015
15-Jul-25,EQ,347.65,350.5,346.15,344.4,349,348.05,348.24,376,234.01,6270256,"2,18,35,74,508.30",62125
14-Jul-25,EQ,345.85,348.2,342.85,344.85,344,344.4,345.17,376,234.01,5372218,"1,85,43,40,633.70",48851
11-Jul-25,EQ,351.8,352.65,343.3,350.95,344.3,344.85,346.24,376,234.01,4803470,"1,66,31,66,207.80",55515
10-Jul-25,EQ,351.8,352.85,348.05,348.5,350.15,350.95,350.65,376,234.01,6580919,"2,30,76,10,700.00",91268
09-Jul-25,EQ,355.6,356.35,347.65,355.6,349.3,348.5,352.47,376,234.01,8039090,"2,83,35,44,852.40",91377
08-Jul-25,EQ,350,358.65,348.7,350.5,355.85,355.6,355.46,376,234.01,12905482,"4,58,73,81,244.85",171857
07-Jul-25,EQ,345.8,351.55,343.45,346.2,350.5,350.5,348.33,376,234.01,8603937,"2,99,69,95,117.75",107903
04-Jul-25,EQ,334,347.7,331.9,331.5,345.1,346.2,341.26,376,234.01,13743465,"4,69,01,57,204.85",146238
03-Jul-25,EQ,333,335.55,330.55,331.8,331.15,331.5,332.63,376,234.01,5049883,"1,67,97,51,452.00",63686
02-Jul-25,EQ,333.7,334.95,328.8,332.05,331.9,331.8,331.19,376,234.01,3799017,"1,25,82,14,019.80",43044
01-Jul-25,EQ,331.55,335.5,330.9,331.95,331.95,332.05,332.63,376,234.01,3921773,"1,30,45,13,335.95",44377
30-Jun-25,EQ,334,337.7,330.35,333,331.5,331.95,333.66,376,234.01,5840638,"1,94,87,93,293.00",62778
27-Jun-25,EQ,330,334.2,327.4,329.75,333,333,332.03,376,234.01,9911738,"3,29,09,80,723.00",120587
26-Jun-25,EQ,318.85,331,318.85,319.6,330,329.75,326.5,376,234.01,15528180,"5,06,99,16,332.15",156630
25-Jun-25,EQ,322.5,323,316.6,319.25,318.8,319.6,319.75,376,234.01,6658747,"2,12,91,58,312.05",104754
24-Jun-25,EQ,325.5,327.8,317,313.45,318.85,319.25,321.65,376,234.01,11172373,"3,59,35,73,290.40",88207
23-Jun-25,EQ,310,315.5,308.2,313.5,313.25,313.45,312.14,376,234.01,6848410,"2,13,76,47,904.85",55356
20-Jun-25,EQ,310.9,315.9,310,313.45,313,313.5,313.53,635,234.01,8522458,"2,67,20,27,687.65",52787
19-Jun-25,EQ,317,317,310.1,315.85,311.6,313.45,313.12,635,234.01,5399948,"1,69,08,16,718.10",50343
18-Jun-25,EQ,312,316.85,309.7,312.8,316,315.85,313.53,635,234.01,10011198,"3,13,88,08,215.85",53298
17-Jun-25,EQ,314,320.45,311.7,316.4,311.7,312.8,316.4,635,234.01,7219608,"2,28,43,19,971.40",57285
16-Jun-25,EQ,309.95,316.85,308.5,312.3,315.85,316.4,312.89,635,234.01,6893567,"2,15,69,25,932.15",77355
13-Jun-25,EQ,305,314.4,299.3,318.65,312.9,312.3,308.86,635,234.01,13958229,"4,31,10,80,114.10",165341
12-Jun-25,EQ,330.5,331,317.75,333.85,319.25,318.65,322.05,635,234.01,13568848,"4,36,98,94,858.15",125524
11-Jun-25,EQ,320.3,334.5,320.3,320.1,334,333.85,331.87,635,234.01,21739121,"7,21,45,39,225.00",153478
